epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2412.91,1.53724,2.31574,0.96962,1.27855,0.82328,0.73565,0.83019,0.48114,0.81764,0.72519,0.81397,0.43226,1.50075,2.35132,0.96376,1.2855,0.001288,0.001288,0.001288
90,2438.94,1.49921,2.27093,0.93951,1.25606,0.83757,0.74681,0.83987,0.48778,0.83243,0.7345,0.82368,0.4423,1.51691,2.36924,0.94918,1.28129,0.001189,0.001189,0.001189
91,2464.48,1.52387,2.31482,0.99212,1.30917,0.80919,0.7099,0.79174,0.46283,0.804,0.70035,0.77614,0.41415,1.5254,2.38453,0.99528,1.30338,0.00109,0.00109,0.00109
92,2486.23,1.51785,2.29965,0.97423,1.29479,0.81829,0.75701,0.84108,0.4837,0.81073,0.74852,0.82636,0.43811,1.49462,2.34483,0.94752,1.27175,0.000991,0.000991,0.000991
93,2507.76,1.50901,2.27631,0.96338,1.2848,0.82635,0.74687,0.83467,0.48776,0.82189,0.73413,0.82026,0.44035,1.49447,2.34871,0.9402,1.27277,0.000892,0.000892,0.000892
94,2528.9,1.52677,2.29367,0.95141,1.27942,0.82308,0.75201,0.83831,0.48608,0.81784,0.74307,0.82512,0.43778,1.51876,2.35927,0.94674,1.27507,0.000793,0.000793,0.000793
95,2549.98,1.50404,2.27949,0.94449,1.27815,0.83445,0.74756,0.84466,0.49391,0.82919,0.73519,0.82965,0.44667,1.48197,2.32843,0.94138,1.26626,0.000694,0.000694,0.000694
96,2572.31,1.48522,2.23951,0.92565,1.27202,0.83533,0.75686,0.8462,0.4929,0.82994,0.74746,0.83266,0.44238,1.49492,2.33362,0.92125,1.26925,0.000595,0.000595,0.000595
97,2593.99,1.50105,2.26209,0.93423,1.28243,0.83681,0.75428,0.8469,0.49495,0.83332,0.74526,0.83321,0.44931,1.47985,2.3156,0.92987,1.26517,0.000496,0.000496,0.000496
98,2616.71,1.49364,2.26121,0.92137,1.28049,0.84042,0.75317,0.84869,0.49286,0.83651,0.74487,0.83494,0.44492,1.50068,2.33565,0.91546,1.27432,0.000397,0.000397,0.000397
99,2638.21,1.49147,2.25295,0.92953,1.27193,0.84242,0.74994,0.84491,0.49476,0.83854,0.73656,0.83028,0.4473,1.48796,2.32146,0.9266,1.27311,0.000298,0.000298,0.000298
100,2659.5,1.48977,2.24777,0.92607,1.27485,0.84259,0.7514,0.84705,0.49554,0.83826,0.7443,0.83305,0.44693,1.48388,2.32104,0.91816,1.2672,0.000199,0.000199,0.000199
